date,city,state,petrol_price_inr_per_litre,diesel_price_inr_per_litre,state_vat_petrol_pct,state_vat_diesel_pct,is_long_freeze
2021-05-01,Delhi,Delhi,90.40,80.73,19.40,16.75,0
2021-05-01,Mumbai,Maharashtra,96.83,87.81,25.00,21.00,0
2021-05-01,Chennai,Tamil Nadu,92.43,85.75,15.00,11.00,0
2021-05-01,Kolkata,West Bengal,90.62,83.61,25.00,17.00,0
2021-05-01,Bengaluru,Karnataka,93.43,85.60,29.84,18.40,0
2021-05-01,Lucknow,Uttar Pradesh,88.56,80.94,19.36,17.08,0
2021-05-02,Delhi,Delhi,90.40,80.73,19.40,16.75,0
2021-05-02,Mumbai,Maharashtra,96.83,87.81,25.00,21.00,0
2021-05-02,Chennai,Tamil Nadu,92.43,85.75,15.00,11.00,0
2021-05-02,Kolkata,West Bengal,90.62,83.61,25.00,17.00,0
2021-05-02,Bengaluru,Karnataka,93.43,85.60,29.84,18.40,0
2021-05-02,Lucknow,Uttar Pradesh,88.56,80.94,19.36,17.08,0
2021-05-03,Delhi,Delhi,90.40,80.73,19.40,16.75,0
2021-05-03,Mumbai,Maharashtra,96.83,87.81,25.00,21.00,0
2021-05-03,Chennai,Tamil Nadu,92.43,85.75,15.00,11.00,0
2021-05-03,Kolkata,West Bengal,90.62,83.61,25.00,17.00,0
2021-05-03,Bengaluru,Karnataka,93.43,85.60,29.84,18.40,0
2021-05-03,Lucknow,Uttar Pradesh,88.56,80.94,19.36,17.08,0
2021-05-04,Delhi,Delhi,90.40,80.73,19.40,16.75,0
2021-05-04,Mumbai,Maharashtra,96.83,87.81,25.00,21.00,0
2021-05-04,Chennai,Tamil Nadu,92.43,85.75,15.00,11.00,0
2021-05-04,Kolkata,West Bengal,90.62,83.61,25.00,17.00,0
2021-05-04,Bengaluru,Karnataka,93.43,85.60,29.84,18.40,0
2021-05-04,Lucknow,Uttar Pradesh,88.56,80.94,19.36,17.08,0
2021-05-05,Delhi,Delhi,90.40,80.73,19.40,16.75,0
2021-05-05,Mumbai,Maharashtra,96.83,87.81,25.00,21.00,0
2021-05-05,Chennai,Tamil Nadu,92.43,85.75,15.00,11.00,0
2021-05-05,Kolkata,West Bengal,90.62,83.61,25.00,17.00,0
2021-05-05,Bengaluru,Karnataka,93.43,85.60,29.84,18.40,0
2021-05-05,Lucknow,Uttar Pradesh,88.56,80.94,19.36,17.08,0
2021-05-06,Delhi,Delhi,90.40,80.73,19.40,16.75,0
2021-05-06,Mumbai,Maharashtra,96.83,87.81,25.00,21.00,0
2021-05-06,Chennai,Tamil Nadu,92.43,85.75,15.00,11.00,0
2021-05-06,Kolkata,West Bengal,90.62,83.61,25.00,17.00,0
2021-05-06,Bengaluru,Karnataka,93.43,85.60,29.84,18.40,0
2021-05-06,Lucknow,Uttar Pradesh,88.56,80.94,19.36,17.08,0
2021-05-07,Delhi,Delhi,90.40,80.73,19.40,16.75,0
2021-05-07,Mumbai,Maharashtra,96.83,87.81,25.00,21.00,0
2021-05-07,Chennai,Tamil Nadu,92.43,85.75,15.00,11.00,0
2021-05-07,Kolkata,West Bengal,90.62,83.61,25.00,17.00,0
2021-05-07,Bengaluru,Karnataka,93.43,85.60,29.84,18.40,0
2021-05-07,Lucknow,Uttar Pradesh,88.56,80.94,19.36,17.08,0
2021-05-08,Delhi,Delhi,90.40,80.73,19.40,16.75,0
2021-05-08,Mumbai,Maharashtra,96.83,87.81,25.00,21.00,0
2021-05-08,Chennai,Tamil Nadu,92.43,85.75,15.00,11.00,0
2021-05-08,Kolkata,West Bengal,90.62,83.61,25.00,17.00,0
2021-05-08,Bengaluru,Karnataka,93.43,85.60,29.84,18.40,0
2021-05-08,Lucknow,Uttar Pradesh,88.56,80.94,19.36,17.08,0
2021-05-09,Delhi,Delhi,90.40,80.73,19.40,16.75,0
2021-05-09,Mumbai,Maharashtra,96.83,87.81,25.00,21.00,0
2021-05-09,Chennai,Tamil Nadu,92.43,85.75,15.00,11.00,0
2021-05-09,Kolkata,West Bengal,90.62,83.61,25.00,17.00,0
2021-05-09,Bengaluru,Karnataka,93.43,85.60,29.84,18.40,0
2021-05-09,Lucknow,Uttar Pradesh,88.56,80.94,19.36,17.08,0
2021-05-10,Delhi,Delhi,90.40,80.73,19.40,16.75,0
2021-05-10,Mumbai,Maharashtra,96.83,87.81,25.00,21.00,0
2021-05-10,Chennai,Tamil Nadu,92.43,85.75,15.00,11.00,0
2021-05-10,Kolkata,West Bengal,90.62,83.61,25.00,17.00,0
2021-05-10,Bengaluru,Karnataka,93.43,85.60,29.84,18.40,0
2021-05-10,Lucknow,Uttar Pradesh,88.56,80.94,19.36,17.08,0
2021-05-11,Delhi,Delhi,90.40,80.73,19.40,16.75,0
2021-05-11,Mumbai,Maharashtra,96.83,87.81,25.00,21.00,0
2021-05-11,Chennai,Tamil Nadu,92.43,85.75,15.00,11.00,0
2021-05-11,Kolkata,West Bengal,90.62,83.61,25.00,17.00,0
2021-05-11,Bengaluru,Karnataka,93.43,85.60,29.84,18.40,0
2021-05-11,Lucknow,Uttar Pradesh,88.56,80.94,19.36,17.08,0
2021-05-12,Delhi,Delhi,90.40,80.73,19.40,16.75,0
2021-05-12,Mumbai,Maharashtra,96.83,87.81,25.00,21.00,0
2021-05-12,Chennai,Tamil Nadu,92.43,85.75,15.00,11.00,0
2021-05-12,Kolkata,West Bengal,90.62,83.61,25.00,17.00,0
2021-05-12,Bengaluru,Karnataka,93.43,85.60,29.84,18.40,0
2021-05-12,Lucknow,Uttar Pradesh,88.56,80.94,19.36,17.08,0
2021-05-13,Delhi,Delhi,90.40,80.73,19.40,16.75,0
2021-05-13,Mumbai,Maharashtra,96.83,87.81,25.00,21.00,0
2021-05-13,Chennai,Tamil Nadu,92.43,85.75,15.00,11.00,0
2021-05-13,Kolkata,West Bengal,90.62,83.61,25.00,17.00,0
2021-05-13,Bengaluru,Karnataka,93.43,85.60,29.84,18.40,0
2021-05-13,Lucknow,Uttar Pradesh,88.56,80.94,19.36,17.08,0
2021-05-14,Delhi,Delhi,90.40,80.73,19.40,16.75,0
2021-05-14,Mumbai,Maharashtra,96.83,87.81,25.00,21.00,0
2021-05-14,Chennai,Tamil Nadu,92.43,85.75,15.00,11.00,0
2021-05-14,Kolkata,West Bengal,90.62,83.61,25.00,17.00,0
2021-05-14,Bengaluru,Karnataka,93.43,85.60,29.84,18.40,0
2021-05-14,Lucknow,Uttar Pradesh,88.56,80.94,19.36,17.08,0
2021-05-15,Delhi,Delhi,90.40,80.73,19.40,16.75,0
2021-05-15,Mumbai,Maharashtra,96.83,87.81,25.00,21.00,0
2021-05-15,Chennai,Tamil Nadu,92.43,85.75,15.00,11.00,0
2021-05-15,Kolkata,West Bengal,90.62,83.61,25.00,17.00,0
2021-05-15,Bengaluru,Karnataka,93.43,85.60,29.84,18.40,0
2021-05-15,Lucknow,Uttar Pradesh,88.56,80.94,19.36,17.08,0
2021-05-16,Delhi,Delhi,90.40,80.73,19.40,16.75,0
2021-05-16,Mumbai,Maharashtra,96.83,87.81,25.00,21.00,0
2021-05-16,Chennai,Tamil Nadu,92.43,85.75,15.00,11.00,0
2021-05-16,Kolkata,West Bengal,90.62,83.61,25.00,17.00,0
2021-05-16,Bengaluru,Karnataka,93.43,85.60,29.84,18.40,0
2021-05-16,Lucknow,Uttar Pradesh,88.56,80.94,19.36,17.08,0
2021-05-17,Delhi,Delhi,90.40,80.73,19.40,16.75,0
2021-05-17,Mumbai,Maharashtra,96.83,87.81,25.00,21.00,0
2021-05-17,Chennai,Tamil Nadu,92.43,85.75,15.00,11.00,0
2021-05-17,Kolkata,West Bengal,90.62,83.61,25.00,17.00,0
2021-05-17,Bengaluru,Karnataka,93.43,85.60,29.84,18.40,0
2021-05-17,Lucknow,Uttar Pradesh,88.56,80.94,19.36,17.08,0
2021-05-18,Delhi,Delhi,90.40,80.73,19.40,16.75,0
2021-05-18,Mumbai,Maharashtra,96.83,87.81,25.00,21.00,0
2021-05-18,Chennai,Tamil Nadu,92.43,85.75,15.00,11.00,0
2021-05-18,Kolkata,West Bengal,90.62,83.61,25.00,17.00,0
2021-05-18,Bengaluru,Karnataka,93.43,85.60,29.84,18.40,0
2021-05-18,Lucknow,Uttar Pradesh,88.56,80.94,19.36,17.08,0
2021-05-19,Delhi,Delhi,90.40,80.73,19.40,16.75,0
2021-05-19,Mumbai,Maharashtra,96.83,87.81,25.00,21.00,0
2021-05-19,Chennai,Tamil Nadu,92.43,85.75,15.00,11.00,0
2021-05-19,Kolkata,West Bengal,90.62,83.61,25.00,17.00,0
2021-05-19,Bengaluru,Karnataka,93.43,85.60,29.84,18.40,0
2021-05-19,Lucknow,Uttar Pradesh,88.56,80.94,19.36,17.08,0
2021-05-20,Delhi,Delhi,90.40,80.73,19.40,16.75,0
2021-05-20,Mumbai,Maharashtra,96.83,87.81,25.00,21.00,0
2021-05-20,Chennai,Tamil Nadu,92.43,85.75,15.00,11.00,0
2021-05-20,Kolkata,West Bengal,90.62,83.61,25.00,17.00,0
2021-05-20,Bengaluru,Karnataka,93.43,85.60,29.84,18.40,0
2021-05-20,Lucknow,Uttar Pradesh,88.56,80.94,19.36,17.08,0
2021-05-21,Delhi,Delhi,90.40,80.73,19.40,16.75,0
2021-05-21,Mumbai,Maharashtra,96.83,87.81,25.00,21.00,0
2021-05-21,Chennai,Tamil Nadu,92.43,85.75,15.00,11.00,0
2021-05-21,Kolkata,West Bengal,90.62,83.61,25.00,17.00,0
2021-05-21,Bengaluru,Karnataka,93.43,85.60,29.84,18.40,0
2021-05-21,Lucknow,Uttar Pradesh,88.56,80.94,19.36,17.08,0
2021-05-22,Delhi,Delhi,90.40,80.73,19.40,16.75,0
2021-05-22,Mumbai,Maharashtra,96.83,87.81,25.00,21.00,0
2021-05-22,Chennai,Tamil Nadu,92.43,85.75,15.00,11.00,0
2021-05-22,Kolkata,West Bengal,90.62,83.61,25.00,17.00,0
2021-05-22,Bengaluru,Karnataka,93.43,85.60,29.84,18.40,0
2021-05-22,Lucknow,Uttar Pradesh,88.56,80.94,19.36,17.08,0
2021-05-23,Delhi,Delhi,90.40,80.73,19.40,16.75,0
2021-05-23,Mumbai,Maharashtra,96.83,87.81,25.00,21.00,0
2021-05-23,Chennai,Tamil Nadu,92.43,85.75,15.00,11.00,0
2021-05-23,Kolkata,West Bengal,90.62,83.61,25.00,17.00,0
2021-05-23,Bengaluru,Karnataka,93.43,85.60,29.84,18.40,0
2021-05-23,Lucknow,Uttar Pradesh,88.56,80.94,19.36,17.08,0
2021-05-24,Delhi,Delhi,90.40,80.73,19.40,16.75,0
2021-05-24,Mumbai,Maharashtra,96.83,87.81,25.00,21.00,0
2021-05-24,Chennai,Tamil Nadu,92.43,85.75,15.00,11.00,0
2021-05-24,Kolkata,West Bengal,90.62,83.61,25.00,17.00,0
2021-05-24,Bengaluru,Karnataka,93.43,85.60,29.84,18.40,0
2021-05-24,Lucknow,Uttar Pradesh,88.56,80.94,19.36,17.08,0
2021-05-25,Delhi,Delhi,90.40,80.73,19.40,16.75,0
2021-05-25,Mumbai,Maharashtra,96.83,87.81,25.00,21.00,0
2021-05-25,Chennai,Tamil Nadu,92.43,85.75,15.00,11.00,0
2021-05-25,Kolkata,West Bengal,90.62,83.61,25.00,17.00,0
2021-05-25,Bengaluru,Karnataka,93.43,85.60,29.84,18.40,0
2021-05-25,Lucknow,Uttar Pradesh,88.56,80.94,19.36,17.08,0
2021-05-26,Delhi,Delhi,90.40,80.73,19.40,16.75,0
2021-05-26,Mumbai,Maharashtra,96.83,87.81,25.00,21.00,0
2021-05-26,Chennai,Tamil Nadu,92.43,85.75,15.00,11.00,0
2021-05-26,Kolkata,West Bengal,90.62,83.61,25.00,17.00,0
2021-05-26,Bengaluru,Karnataka,93.43,85.60,29.84,18.40,0
2021-05-26,Lucknow,Uttar Pradesh,88.56,80.94,19.36,17.08,0
2021-05-27,Delhi,Delhi,90.40,80.73,19.40,16.75,0
2021-05-27,Mumbai,Maharashtra,96.83,87.81,25.00,21.00,0
2021-05-27,Chennai,Tamil Nadu,92.43,85.75,15.00,11.00,0
2021-05-27,Kolkata,West Bengal,90.62,83.61,25.00,17.00,0
2021-05-27,Bengaluru,Karnataka,93.43,85.60,29.84,18.40,0
2021-05-27,Lucknow,Uttar Pradesh,88.56,80.94,19.36,17.08,0
2021-05-28,Delhi,Delhi,90.40,80.73,19.40,16.75,0
2021-05-28,Mumbai,Maharashtra,96.83,87.81,25.00,21.00,0
2021-05-28,Chennai,Tamil Nadu,92.43,85.75,15.00,11.00,0
2021-05-28,Kolkata,West Bengal,90.62,83.61,25.00,17.00,0
2021-05-28,Bengaluru,Karnataka,93.43,85.60,29.84,18.40,0
2021-05-28,Lucknow,Uttar Pradesh,88.56,80.94,19.36,17.08,0
2021-05-29,Delhi,Delhi,90.40,80.73,19.40,16.75,0
2021-05-29,Mumbai,Maharashtra,96.83,87.81,25.00,21.00,0
2021-05-29,Chennai,Tamil Nadu,92.43,85.75,15.00,11.00,0
2021-05-29,Kolkata,West Bengal,90.62,83.61,25.00,17.00,0
2021-05-29,Bengaluru,Karnataka,93.43,85.60,29.84,18.40,0
2021-05-29,Lucknow,Uttar Pradesh,88.56,80.94,19.36,17.08,0
2021-05-30,Delhi,Delhi,90.40,80.73,19.40,16.75,0
2021-05-30,Mumbai,Maharashtra,96.83,87.81,25.00,21.00,0
2021-05-30,Chennai,Tamil Nadu,92.43,85.75,15.00,11.00,0
2021-05-30,Kolkata,West Bengal,90.62,83.61,25.00,17.00,0
2021-05-30,Bengaluru,Karnataka,93.43,85.60,29.84,18.40,0
2021-05-30,Lucknow,Uttar Pradesh,88.56,80.94,19.36,17.08,0
2021-05-31,Delhi,Delhi,90.40,80.73,19.40,16.75,0
2021-05-31,Mumbai,Maharashtra,96.83,87.81,25.00,21.00,0
2021-05-31,Chennai,Tamil Nadu,92.43,85.75,15.00,11.00,0
2021-05-31,Kolkata,West Bengal,90.62,83.61,25.00,17.00,0
2021-05-31,Bengaluru,Karnataka,93.43,85.60,29.84,18.40,0
2021-05-31,Lucknow,Uttar Pradesh,88.56,80.94,19.36,17.08,0
2021-06-01,Delhi,Delhi,94.49,85.38,19.40,16.75,0
2021-06-01,Mumbai,Maharashtra,100.72,92.69,25.00,21.00,0
2021-06-01,Chennai,Tamil Nadu,95.99,90.12,15.00,11.00,0
2021-06-01,Kolkata,West Bengal,94.50,88.23,25.00,17.00,0
2021-06-01,Bengaluru,Karnataka,97.64,90.51,29.84,18.40,0
2021-06-01,Lucknow,Uttar Pradesh,91.65,85.56,19.36,17.08,0
2021-06-02,Delhi,Delhi,94.49,85.38,19.40,16.75,0
2021-06-02,Mumbai,Maharashtra,100.72,92.69,25.00,21.00,0
2021-06-02,Chennai,Tamil Nadu,95.99,90.12,15.00,11.00,0
2021-06-02,Kolkata,West Bengal,94.50,88.23,25.00,17.00,0
2021-06-02,Bengaluru,Karnataka,97.64,90.51,29.84,18.40,0
2021-06-02,Lucknow,Uttar Pradesh,91.65,85.56,19.36,17.08,0
2021-06-03,Delhi,Delhi,94.49,85.38,19.40,16.75,0
2021-06-03,Mumbai,Maharashtra,100.72,92.69,25.00,21.00,0
2021-06-03,Chennai,Tamil Nadu,95.99,90.12,15.00,11.00,0
2021-06-03,Kolkata,West Bengal,94.50,88.23,25.00,17.00,0
2021-06-03,Bengaluru,Karnataka,97.64,90.51,29.84,18.40,0
2021-06-03,Lucknow,Uttar Pradesh,91.65,85.56,19.36,17.08,0
2021-06-04,Delhi,Delhi,94.49,85.38,19.40,16.75,0
2021-06-04,Mumbai,Maharashtra,100.72,92.69,25.00,21.00,0
2021-06-04,Chennai,Tamil Nadu,95.99,90.12,15.00,11.00,0
2021-06-04,Kolkata,West Bengal,94.50,88.23,25.00,17.00,0
2021-06-04,Bengaluru,Karnataka,97.64,90.51,29.84,18.40,0
2021-06-04,Lucknow,Uttar Pradesh,91.65,85.56,19.36,17.08,0
2021-06-05,Delhi,Delhi,94.49,85.38,19.40,16.75,0
2021-06-05,Mumbai,Maharashtra,100.72,92.69,25.00,21.00,0
2021-06-05,Chennai,Tamil Nadu,95.99,90.12,15.00,11.00,0
2021-06-05,Kolkata,West Bengal,94.50,88.23,25.00,17.00,0
2021-06-05,Bengaluru,Karnataka,97.64,90.51,29.84,18.40,0
2021-06-05,Lucknow,Uttar Pradesh,91.65,85.56,19.36,17.08,0
2021-06-06,Delhi,Delhi,94.49,85.38,19.40,16.75,0
2021-06-06,Mumbai,Maharashtra,100.72,92.69,25.00,21.00,0
2021-06-06,Chennai,Tamil Nadu,95.99,90.12,15.00,11.00,0
2021-06-06,Kolkata,West Bengal,94.50,88.23,25.00,17.00,0
2021-06-06,Bengaluru,Karnataka,97.64,90.51,29.84,18.40,0
2021-06-06,Lucknow,Uttar Pradesh,91.65,85.56,19.36,17.08,0
2021-06-07,Delhi,Delhi,94.49,85.38,19.40,16.75,0
2021-06-07,Mumbai,Maharashtra,100.72,92.69,25.00,21.00,0
2021-06-07,Chennai,Tamil Nadu,95.99,90.12,15.00,11.00,0
2021-06-07,Kolkata,West Bengal,94.50,88.23,25.00,17.00,0
2021-06-07,Bengaluru,Karnataka,97.64,90.51,29.84,18.40,0
2021-06-07,Lucknow,Uttar Pradesh,91.65,85.56,19.36,17.08,0
2021-06-08,Delhi,Delhi,94.49,85.38,19.40,16.75,0
2021-06-08,Mumbai,Maharashtra,100.72,92.69,25.00,21.00,0
2021-06-08,Chennai,Tamil Nadu,95.99,90.12,15.00,11.00,0
2021-06-08,Kolkata,West Bengal,94.50,88.23,25.00,17.00,0
2021-06-08,Bengaluru,Karnataka,97.64,90.51,29.84,18.40,0
2021-06-08,Lucknow,Uttar Pradesh,91.65,85.56,19.36,17.08,0
